circuitId,avg_lap
1,98985.8561
2,110046.5112
3,99775.1434
4,88472.7464
5,94791.9039
6,88443.8191
7,89785.8103
8,81948.9362
9,101787.9241
10,89167.0877
11,87543.7846
12,106225.7590
13,120447.8937
14,90957.6851
15,117084.4535
16,98011.7936
17,107232.6243
18,85735.7601
19,78880.6972
20,95474.2369
21,90767.4239
22,106034.6969
24,104477.7216
25,95490.4337
26,87072.1465
27,88531.9299
32,87402.6483
34,101222.1312
35,131153.8065
39,87786.8753
68,92992.3912
69,106281.7556
70,74218.4690
71,106137.3556
73,121728.1697
75,85383.2010
76,141405.2455
77,112973.9966
78,93515.7582
79,96389.1617
80,103749.9335
