constructorId,avg_lap
1,94943.3973
2,92736.2163
3,95336.8659
4,93977.0120
5,98475.4230
6,94288.4464
7,90876.9474
8,95322.8750
9,96928.4584
10,99638.1018
11,91875.0549
12,94292.3830
13,91617.1122
14,92750.0076
15,95832.8979
16,89783.4834
17,91171.1225
18,93345.4695
19,89169.4785
20,92089.5995
21,92833.3601
22,92242.2191
23,95293.6517
24,92637.7257
25,94548.0970
27,95348.1774
28,98272.3483
29,96863.2139
51,96478.1505
117,97481.5298
131,97776.1065
164,109565.3331
166,110070.5591
205,109679.5925
206,104394.9673
207,104473.1310
208,100679.1596
209,102445.3374
210,96710.1970
211,93596.9752
213,98252.1540
214,97242.5844
215,95240.8724
